title,publisher,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,citeScoreTracker_2024,citeScoreCurrentMetric_2023,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024
BioScience,Oxford University Press,journal,AGRI,Agricultural and Biological Sciences (all),2.5,2.370,12.8,14.1,122,22127,28,22.13,105,21424,41,15.24,82,18778,47,19.51
Bioacoustics,Taylor and Francis Ltd.,journal,AGRI;ENVI,"Ecology;Ecology, Evolution, Behavior and Systematics",0.742,0.518,4.2,4.5,42,1032,5,7.14,37,1035,9,10.81,28,862,23,3.57
Bioactive Carbohydrates and Dietary Fibre,Elsevier Ltd,journal,AGRI;BIOC;CHEM,Organic Chemistry;Biochemistry;Food Science,0.755,0.622,5.5,6.0,46,1281,7,2.17,46,1407,8,10.87,61,1443,38,6.56
Bioactive Compounds in Health and Disease,Functional Food Institute,journal,AGRI,Food Science,0.655,0.355,3.5,3.5,18,122,2,27.78,28,196,9,14.29,39,219,31,23.08
Bioagro,Universidad Centroccidental Lisandro Alvarado (UCLA),journal,AGRI,Agricultural and Biological Sciences (all),0.458,0.219,1.3,1.4,28,194,9,0.0,28,174,18,0.0,37,158,33,0.0
Biocatalysis and Agricultural Biotechnology,Elsevier B.V.,journal,CENG;AGRI;BIOC;IMMU,Biotechnology;Applied Microbiology and Biotechnology;Bioengineering;Agronomy and Crop Science;Food Science,0.962,0.671,6.1,7.7,311,10113,12,9.97,420,11635,65,13.1,442,11971,236,20.36
Biochar,Springer Science and Business Media B.V.,journal,AGRI;ENVI;MATE,Environmental Science (miscellaneous);Biomaterials;Soil Science;Pollution,2.294,2.855,19.1,18.6,72,1494,0,18.06,91,2876,2,18.68,94,4068,41,15.96
Biochemical Genetics,Springer,journal,AGRI;BIOC,"Genetics;Molecular Biology;Biochemistry;Ecology, Evolution, Behavior and Systematics",0.569,0.508,3.4,3.9,148,1942,6,4.73,153,2105,27,3.27,526,1950,343,2.47
Biochemical Systematics and Ecology,Elsevier Ltd,journal,AGRI;BIOC,"Biochemistry;Ecology, Evolution, Behavior and Systematics",0.609,0.311,2.9,3.0,146,5699,18,3.42,151,5441,42,5.96,124,4608,97,4.84
Biocontrol Science and Technology,Taylor and Francis Ltd.,journal,AGRI,Agronomy and Crop Science;Insect Science,0.679,0.462,2.8,3.2,103,3756,16,3.88,74,3818,34,4.05,68,3019,58,0.0
Biodemography and Social Biology,Taylor and Francis Ltd.,journal,AGRI;SOCI;BIOC,"Demography;Anthropology;Genetics;Ecology, Evolution, Behavior and Systematics",0.474,0.363,1.6,1.5,18,676,5,0.0,14,658,8,14.29,17,503,16,0.0
Biodiversitas,"Biology department, Sebelas Maret University Surakarta",journal,AGRI;BIOC,Molecular Biology;Animal Science and Zoology;Plant Science,0.765,0.351,2.8,2.8,757,2989,191,0.26,795,4372,401,0.13,437,4763,396,0.23
Biodiversity Data Journal,Pensoft Publishers,journal,AGRI;ENVI,"Insect Science;Plant Science;Agricultural and Biological Sciences (miscellaneous);Animal Science and Zoology;Ecology, Evolution, Behavior and Systematics;Ecology",0.705,0.367,1.8,2.2,245,1522,68,0.0,252,1761,121,0.4,235,1643,202,0.43
Biodiversity Science,Chinese Academy of Sciences,journal,AGRI;ENVI,"Nature and Landscape Conservation;Ecology;Ecology, Evolution, Behavior and Systematics",0.664,0.346,2.7,2.5,238,1067,70,3.36,221,1288,112,5.88,119,1390,111,13.45
Biodiversity and Conservation,Springer Science and Business Media B.V.,journal,AGRI;ENVI,"Nature and Landscape Conservation;Ecology;Ecology, Evolution, Behavior and Systematics",1.143,0.954,5.2,6.2,176,16281,10,9.09,248,15546,45,11.69,220,13703,153,10.0
Bioenergy Research,Springer,journal,AGRI;ENER,"Renewable Energy, Sustainability and the Environment;Agronomy and Crop Science;Energy (miscellaneous)",0.909,0.647,6.9,6.7,161,4088,8,13.66,196,4409,20,14.8,186,4176,91,5.38
Biofouling,Taylor and Francis Ltd.,journal,AGRI;ENVI;IMMU,Applied Microbiology and Biotechnology;Aquatic Science;Water Science and Technology,0.668,0.518,4.1,5.0,73,6150,3,5.48,76,5708,24,7.89,57,4736,45,10.53
Biogeographia,eScholarship University of California,journal,AGRI;ENVI,"Global and Planetary Change;Ecology;Ecology, Evolution, Behavior and Systematics",0.51,0.382,2.3,2.3,21,69,5,0.0,10,90,5,0.0,6,80,5,0.0
Biogeosciences,Copernicus Publications,journal,AGRI;EART,"Earth-Surface Processes;Ecology, Evolution, Behavior and Systematics",1.168,1.767,7.1,8.6,300,25475,12,1.67,269,23911,42,1.49,222,21850,143,2.25
Biologia,Springer Science and Business Media Deutschland GmbH,journal,AGRI;BIOC,"Genetics;Plant Science;Molecular Biology;Animal Science and Zoology;Cell Biology;Biochemistry;Ecology, Evolution, Behavior and Systematics",0.587,0.361,3.2,3.3,303,3912,59,5.61,306,4101,102,4.25,294,3839,217,6.46
Biologia Futura,Akademiai Kiado,journal,AGRI;BIOC,"Agricultural and Biological Sciences (all);Biochemistry, Genetics and Molecular Biology (all)",0.589,0.428,3.4,3.5,47,1125,10,42.55,46,1228,20,34.78,50,986,39,16.0
Biologia Plantarum,Springer Netherlands,journal,AGRI,Horticulture;Plant Science,0.345,0.308,1.5,2.8,32,5705,10,12.5,37,5207,22,8.11,17,3815,17,11.76
Biological Agriculture and Horticulture,Taylor and Francis Ltd.,journal,AGRI,Agronomy and Crop Science;Horticulture,0.968,0.427,2.8,3.3,19,1013,2,0.0,19,905,9,5.26,23,816,17,0.0
Biological Bulletin,University of Chicago Press,journal,AGRI,Agricultural and Biological Sciences (all),0.619,0.611,4.4,3.3,47,3203,10,2.13,34,3031,24,0.0,0,2664,0,0.0
Biological Communications,Saint Petersburg State University,journal,AGRI;BIOC,"Agricultural and Biological Sciences (all);Biochemistry, Genetics and Molecular Biology (all)",0.686,0.215,1.4,1.7,29,154,12,31.03,30,170,21,3.33,13,126,13,0.0
Biological Conservation,Elsevier B.V.,journal,AGRI;ENVI,"Nature and Landscape Conservation;Ecology, Evolution, Behavior and Systematics",1.789,1.985,8.2,10.2,305,44900,17,7.87,452,42805,60,7.96,357,38291,221,4.76
Biological Control,Academic Press Inc.,journal,AGRI,Agronomy and Crop Science;Insect Science,1.193,0.875,7.1,7.4,225,12927,15,6.22,213,13012,36,3.76,159,11602,116,7.55
Biological Invasions,Springer Nature,journal,AGRI;ENVI,"Ecology;Ecology, Evolution, Behavior and Systematics",1.153,0.940,5.0,6.0,266,12122,23,3.38,281,13126,63,3.56,270,10850,194,1.85
Biological Journal of the Linnean Society,Oxford University Press,journal,AGRI,"Ecology, Evolution, Behavior and Systematics",0.844,0.764,4.0,4.3,157,10554,28,5.73,113,10241,39,6.19,118,8718,77,5.08
Biological Research,BioMed Central Ltd,journal,BIOC;AGRI;MEDI,"Agricultural and Biological Sciences (all);Biochemistry, Genetics and Molecular Biology (all);Medicine (all)",1.354,1.300,5.9,10.1,41,3812,3,12.2,67,3796,16,5.97,75,3535,52,8.0
Biological Reviews,Wiley-Blackwell,journal,AGRI;BIOC,"Agricultural and Biological Sciences (all);Biochemistry, Genetics and Molecular Biology (all)",4.135,4.347,21.6,21.3,99,20101,1,1.01,111,21062,4,1.8,139,19977,58,0.0
Biological Rhythm Research,Taylor and Francis Ltd.,journal,MEDI;AGRI;BIOC,"Physiology;Physiology (medical);Ecology, Evolution, Behavior and Systematics",0.486,0.312,3.0,3.0,143,1394,27,7.69,54,1367,24,16.67,33,1204,27,12.12
Biological Theory,Springer Science and Business Media B.V.,journal,ARTS;AGRI,"History and Philosophy of Science;Ecology, Evolution, Behavior and Systematics",0.897,0.468,3.5,3.1,29,690,10,0.0,29,712,10,10.34,34,649,23,0.0
Biologicni Studii,Ivan Franko National University of Lviv,journal,AGRI,Agricultural and Biological Sciences (miscellaneous),0.173,0.134,0.6,0.6,25,13,15,12.0,49,29,37,14.29,40,41,38,7.5
Biologie in Unserer Zeit,Wiley-VCH Verlag,journal,AGRI,Agricultural and Biological Sciences (all),0.053,0.116,0.1,0.2,11,70,11,0.0,64,57,63,0.0,12,38,12,0.0
Biologist,Institute of Biology,journal,AGRI,Agricultural and Biological Sciences (all),0,0.101,0.0,0.0,24,153,24,0.0,22,128,21,0.0,19,95,19,0.0
Biology,Multidisciplinary Digital Publishing Institute (MDPI),journal,AGRI;BIOC;IMMU,"Agricultural and Biological Sciences (all);Biochemistry, Genetics and Molecular Biology (all);Immunology and Microbiology (all)",0.969,0.815,6.9,5.7,1853,11738,114,15.81,1531,18186,307,23.38,846,21277,633,22.58
Biology Bulletin,Pleiades Publishing,journal,AGRI;BIOC,"Agricultural and Biological Sciences (all);Biochemistry, Genetics and Molecular Biology (all)",0.443,0.190,0.7,0.7,292,1075,190,1.03,415,1299,310,0.48,170,1029,159,0.0
Biology Direct,BioMed Central Ltd,journal,AGRI;BIOC;MATH;IMMU,"Modeling and Simulation;Biochemistry, Genetics and Molecular Biology (all);Immunology;Agricultural and Biological Sciences (all);Ecology, Evolution, Behavior and Systematics;Applied Mathematics",1.06,1.161,5.1,6.4,41,2499,2,17.07,86,2571,12,8.14,99,2399,65,8.08
Biology Letters,The Royal Society,journal,AGRI,Agricultural and Biological Sciences (all);Agricultural and Biological Sciences (miscellaneous),1.016,1.232,4.6,5.5,190,13502,16,7.37,181,12896,42,4.42,141,10854,104,4.96
Biology Methods and Protocols,Oxford University Press,journal,AGRI;BIOC,"Agricultural and Biological Sciences (all);Biochemistry, Genetics and Molecular Biology (all)",0.678,0.887,3.9,3.8,36,280,6,8.33,44,329,24,15.91,70,370,62,12.86
Biology Open,Company of Biologists Ltd,journal,AGRI;BIOC,"Agricultural and Biological Sciences (all);Biochemistry, Genetics and Molecular Biology (all)",0.68,0.758,3.1,3.9,145,4369,36,7.59,149,4066,78,8.72,122,3257,97,13.11
Biology and Environment,Royal Irish Academy,journal,AGRI;ENVI,Agricultural and Biological Sciences (all);Environmental Science (all),0.171,0.165,1.1,1.1,14,315,7,0.0,13,340,8,0.0,5,270,5,0.0
Biology and Fertility of Soils,Springer Science and Business Media Deutschland GmbH,journal,AGRI;IMMU,Microbiology;Agronomy and Crop Science;Soil Science,1.417,1.680,10.2,11.8,74,14598,2,5.41,87,13541,12,5.75,109,12152,55,4.59
Biology and Philosophy,Springer Science and Business Media B.V.,journal,ARTS;AGRI,Agricultural and Biological Sciences (all);History and Philosophy of Science;Philosophy,0.947,0.828,3.6,4.1,58,1677,13,0.0,48,2014,24,2.08,30,1619,27,3.33
Biomass and Bioenergy,Elsevier Ltd,journal,AGRI;ENVI;ENER,"Renewable Energy, Sustainability and the Environment;Agronomy and Crop Science;Waste Management and Disposal;Forestry",1.255,1.107,10.3,11.5,251,28110,3,8.76,242,26645,11,1.24,376,24644,215,12.23
Biomath,Institute of Mathematics and Informatics Bulgarian Academy of Sciences,journal,AGRI;BIOC;MATH,"Agricultural and Biological Sciences (miscellaneous);Biochemistry, Genetics and Molecular Biology (miscellaneous);Applied Mathematics",0.436,0.178,1.7,2.2,9,26,4,0.0,9,37,6,0.0,6,33,6,0.0
Biomedical and Biopharmaceutical Research,ALIES,journal,AGRI;PHAR;MEDI;HEAL,"Pharmacology, Toxicology and Pharmaceutics (all);Pharmacology (medical);Pharmacy;Food Science",0.087,0.133,0.4,0.6,18,21,14,5.56,25,24,23,8.0,7,20,7,28.57
Biometrics,Oxford University Press,journal,MATH;BIOC;MEDI;AGRI;IMMU,"Immunology and Microbiology (all);Biochemistry, Genetics and Molecular Biology (all);Medicine (all);Agricultural and Biological Sciences (all);Statistics and Probability;Applied Mathematics",1.325,1.480,2.7,2.7,145,26154,25,0.0,325,24273,108,0.0,154,22010,142,2.6
Biometrika,Oxford University Press,journal,DECI;MATH;AGRI,"Mathematics (all);Agricultural and Biological Sciences (miscellaneous);Statistics, Probability and Uncertainty;Agricultural and Biological Sciences (all);Statistics and Probability;Applied Mathematics",2.563,3.358,5.2,5.5,81,24740,10,0.0,70,24819,15,0.0,68,22666,44,0.0
Biopesticides International,Connect Journals,journal,AGRI;ENVI,"Management, Monitoring, Policy and Law;Agronomy and Crop Science;Plant Science",0.254,0.142,0.4,0.5,21,86,17,4.76,27,84,23,0.0,22,77,21,0.0
Bioresources and Bioprocessing,Springer,journal,ENGI;AGRI;BIOC;ENER,"Renewable Energy, Sustainability and the Environment;Biotechnology;Biomedical Engineering;Food Science",0.955,0.756,8.6,7.2,131,3219,7,13.74,95,3787,18,16.84,102,4155,64,9.8
Bioscene,Association of College and Univesity Biology Educators,journal,AGRI;SOCI,Education;Agricultural and Biological Sciences (all),0.052,0.141,0.5,0.5,7,59,5,0.0,4,76,4,0.0,0,66,0,0.0
Bioscience Journal,Universidade Federal de Uberlandia,journal,AGRI,Agricultural and Biological Sciences (all),0.268,0.180,0.9,1.1,100,1308,50,0.0,100,1219,62,2.0,46,1076,42,0.0
"Bioscience of Microbiota, Food and Health",BMFH Press,journal,AGRI;MEDI;IMMU,Applied Microbiology and Biotechnology;Gastroenterology;Microbiology;Immunology;Food Science,0.701,0.646,3.6,6.2,24,614,1,0.0,32,783,5,15.63,45,688,33,20.0
Biosystems Diversity,Oles Honchar Dnipro National University,journal,AGRI;ENVI,"Ecology;Ecology, Evolution, Behavior and Systematics",0.65,0.246,2.1,2.4,44,344,10,0.0,65,376,34,0.0,31,293,25,0.0
Biosystems Engineering,Academic Press,journal,ENGI;AGRI,Agronomy and Crop Science;Food Science;Soil Science;Control and Systems Engineering,1.73,1.000,9.1,10.6,232,17528,8,0.86,188,17993,22,3.72,190,16159,106,3.16
Biota Colombiana,Instituto de investigacion de recursos biologicos Alexander von humboldt,journal,AGRI;ENVI,"Nature and Landscape Conservation;Plant Science;Animal Science and Zoology;Ecology, Evolution, Behavior and Systematics;Ecology",0.543,0.308,1.5,1.4,28,37,8,3.57,26,61,15,0.0,9,47,9,0.0
Biota Neotropica,Centro de Referencia em Informacao Ambiental,journal,AGRI,"Ecology, Evolution, Behavior and Systematics",0.81,0.410,2.1,2.9,81,1520,32,9.88,50,1566,28,0.0,41,1372,35,2.44
Biotech Studies,Field Crops Central Research Institute,journal,AGRI;BIOC;IMMU,Applied Microbiology and Biotechnology;Agricultural and Biological Sciences (miscellaneous);Biotechnology;Food Science,0.29,0.234,1.6,1.8,11,26,5,18.18,10,33,6,20.0,7,41,7,28.57
Biotechnologia,Instytut Chemii Bioorganicznej PAN,journal,AGRI;BIOC,Biotechnology;Plant Science,0.338,0.241,2.9,1.6,30,297,3,13.33,31,347,11,12.9,14,407,10,21.43
"Biotechnology, Agronomy, Society and Environment",Les Presses Agronomiques de Gembloux,journal,AGRI;SOCI;BIOC,"Biotechnology;Geography, Planning and Development;Agronomy and Crop Science;Plant Science;Forestry",0.457,0.234,1.3,1.6,27,1105,10,0.0,25,1014,19,0.0,9,808,9,0.0
Biotropia,Southeast Asian Regional Centre for Tropical Biology (SEAMEO BIOTROP),journal,ENVI;AGRI;BIOC,Agricultural and Biological Sciences (all);Biotechnology;Ecology,0.349,0.150,0.8,0.7,30,201,12,0.0,34,179,19,0.0,26,177,25,0.0
Biotropica,Wiley-Blackwell,journal,AGRI,"Ecology, Evolution, Behavior and Systematics",0.857,0.782,3.7,4.1,137,6927,20,3.65,112,6577,37,1.79,118,5474,95,5.93
Bird Conservation International,Cambridge University Press,journal,AGRI;ENVI,Animal Science and Zoology;Ecology;Nature and Landscape Conservation,0.955,0.622,3.3,3.4,50,1728,6,8.0,80,1638,24,6.25,26,1363,17,3.85
Bird Study,Taylor and Francis Ltd.,journal,AGRI;ENVI,"Nature and Landscape Conservation;Ecology, Evolution, Behavior and Systematics",0.527,0.342,1.2,1.6,13,2020,2,0.0,29,2025,21,0.0,34,1660,27,0.0
Birds,Multidisciplinary Digital Publishing Institute (MDPI),journal,AGRI,"Animal Science and Zoology;Ecology, Evolution, Behavior and Systematics",0.694,0.460,2.7,2.5,27,68,5,14.81,28,121,11,0.0,41,145,35,9.76
Blumea: Journal of Plant Taxonomy and Plant Geography,National Herbarium Nederland,journal,AGRI,"Plant Science;Ecology, Evolution, Behavior and Systematics",0.838,0.486,1.4,1.9,16,650,6,0.0,11,624,8,0.0,8,444,7,0.0
Bodenkultur,De Gruyter Open Ltd.,journal,AGRI,Animal Science and Zoology;Agronomy and Crop Science;Soil Science,0.061,0.127,0.7,0.6,11,205,9,0.0,8,209,2,0.0,6,198,6,0.0
Bois et Forets des Tropiques,CIRAD,journal,AGRI;ENVI,"Forestry;Ecology;Ecology, Evolution, Behavior and Systematics",0.443,0.308,1.1,1.5,28,277,15,0.0,26,291,22,0.0,11,242,11,0.0
Boletim do Instituto de Pesca,Instytut Technologii Drewna,journal,AGRI,Aquatic Science;Animal Science and Zoology,0.218,0.191,0.9,0.8,34,500,20,2.94,27,449,22,3.7,22,451,20,4.55
Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas,MS-Editions,journal,AGRI;PHAR;MEDI,Complementary and Alternative Medicine;Plant Science;Pharmacology;Drug Discovery,0.353,0.193,1.3,1.3,49,551,20,8.16,60,612,26,18.33,62,509,49,16.13
Boletin de Investigaciones Marinas y Costeras,INVEMAR,journal,ENVI;SOCI;ARTS;AGRI;EART,"Conservation;Aquatic Science;Geography, Planning and Development;Museology;Environmental Science (miscellaneous);Oceanography;Animal Science and Zoology;Law;Water Science and Technology;Management, Monitoring, Policy and Law",0.199,0.154,0.7,0.7,20,237,14,10.0,24,275,18,4.17,18,182,17,5.56
Boletin de la Asociacion Espanola de Entomologia,Asociacion espanola de Entomologia,journal,AGRI;ENVI,Ecology;Insect Science;Food Science,0.392,0.309,0.9,0.8,38,25,28,0.0,27,43,22,0.0,18,29,17,0.0
Boletin de la Sociedad Argentina de Botanica,Sociedad Argentina de Botanica,journal,AGRI,"Ecology, Evolution, Behavior and Systematics;Plant Science",0.65,0.210,1.2,1.0,37,374,19,0.0,40,383,27,0.0,15,329,14,0.0
Bonn Zoological Bulletin,Zoologisches Forschungsmuseum Alexander Koenig,journal,AGRI,"Animal Science and Zoology;Insect Science;Ecology, Evolution, Behavior and Systematics",0.783,0.415,2.1,1.9,20,107,8,0.0,14,154,7,0.0,0,98,0,0.0
Bonplandia,Instituto de Botanica del Nordeste,journal,AGRI;BIOC,"Genetics;Biochemistry, Genetics and Molecular Biology (miscellaneous);Plant Science;Ecology, Evolution, Behavior and Systematics",0.433,0.187,0.7,0.8,10,27,5,0.0,15,25,9,0.0,18,35,17,5.56
Boreal Environment Research,Finnish Environment Institute,journal,EART;AGRI;ENVI,Agricultural and Biological Sciences (miscellaneous);Ecological Modeling;Pollution;Atmospheric Science,0.463,0.238,1.8,1.8,7,1280,1,0.0,13,1102,6,0.0,9,846,9,0.0
Boreas,John Wiley and Sons Inc,journal,ARTS;AGRI;EART,"Archeology (arts and humanities);Geology;Ecology, Evolution, Behavior and Systematics",1.002,0.888,5.9,5.9,47,3721,3,2.13,28,2759,4,3.57,40,2613,23,15.0
Borneo Journal of Resource Science and Technology,Universiti Malaysia Sarawak,journal,ENVI;AGRI;BIOC,"Biotechnology;Forestry;Animal Science and Zoology;Molecular Biology;Biochemistry;Water Science and Technology;Ecology, Evolution, Behavior and Systematics;Ecology",0.188,0.152,0.8,0.7,31,26,13,0.0,34,32,21,5.88,12,62,11,8.33
Bosque,Universidad Austral de Chile,journal,AGRI,Forestry,0.296,0.205,0.7,0.7,32,451,25,0.0,53,442,39,7.55,16,410,16,6.25
Botanica,Nature Research Centre,journal,AGRI;ENVI,"Ecology;Plant Science;Ecology, Evolution, Behavior and Systematics",0.395,0.192,1.0,1.2,16,41,7,12.5,12,52,10,0.0,14,41,12,0.0
Botanica Complutensis,Biblioteca de la Universidad Complutense de Madrid,journal,AGRI,"Plant Science;Ecology, Evolution, Behavior and Systematics",0.421,0.158,0.7,0.7,7,77,4,0.0,5,84,4,0.0,0,36,0,0.0
Botanica Marina,Walter de Gruyter GmbH,journal,AGRI,"Aquatic Science;Plant Science;Ecology, Evolution, Behavior and Systematics",0.686,0.466,2.6,4.1,39,2788,8,7.69,44,2624,26,13.64,50,2176,39,8.0
Botanica Pacifica,Botanical Garden-Institute,journal,AGRI;ENVI,"Ecology;Plant Science;Ecology, Evolution, Behavior and Systematics",0.711,0.252,1.1,1.4,37,131,18,0.0,41,118,29,2.44,15,122,13,0.0
Botanica Serbica,University of Belgrade,journal,AGRI,Plant Science,0.556,0.242,1.4,1.4,32,201,7,0.0,37,238,18,0.0,30,179,30,0.0
Botanical Journal of the Linnean Society,Oxford University Press,journal,AGRI,"Plant Science;Ecology, Evolution, Behavior and Systematics",1.161,0.802,4.7,5.7,98,7045,8,9.18,82,6545,27,1.22,61,5502,37,1.64
Botanical Review,Springer,journal,AGRI,"Ecology, Evolution, Behavior and Systematics;Plant Science",1.531,0.851,9.6,8.3,19,3641,2,63.16,14,3476,0,64.29,16,2919,10,18.75
Botanical Sciences,"Sociedad Botanica de Mexico, A.C",journal,AGRI,Plant Science,0.656,0.336,1.8,1.9,57,723,15,7.02,77,762,40,5.19,75,611,71,4.0
Botanical Studies,Springer Science and Business Media Deutschland GmbH,journal,AGRI,Plant Science,1.405,0.740,5.6,5.5,34,2305,9,0.0,34,2254,9,5.88,30,1830,25,6.67
Botanicheskii Zhurnal,Komarov Botanical Institute of the Russian Academy of Sciences,journal,AGRI,"Plant Science;Ecology, Evolution, Behavior and Systematics",0.417,0.219,0.6,0.7,99,111,73,0.0,91,116,76,1.1,15,99,14,6.67
Botanikai Kozlemenyek,Magyar Biologiai Tarsasag (Hungarian Biological Society),journal,AGRI,"Ecology, Evolution, Behavior and Systematics;Plant Science",0.631,0.595,0.9,1.0,11,24,5,9.09,8,38,6,12.5,6,11,6,0.0
Botany,Canadian Science Publishing,journal,AGRI;ENVI,"Ecology;Plant Science;Ecology, Evolution, Behavior and Systematics",0.603,0.356,2.2,2.2,77,5877,21,7.79,50,5360,19,8.0,30,4183,25,6.67
Botany Letters,Taylor and Francis Ltd.,journal,AGRI,Plant Science,0.801,0.396,3.1,3.1,46,903,9,0.0,54,965,11,1.85,55,793,45,0.0
Bothalia,South African National Biodiversity Institute,journal,AGRI,"Plant Science;Ecology, Evolution, Behavior and Systematics",0.282,0.201,2.2,1.7,13,456,6,0.0,12,416,7,0.0,10,354,10,0.0
Bradleya,British Cactus and Succulent Society,journal,AGRI,Horticulture,0.888,0.524,2.3,2.8,20,184,10,5.0,18,232,12,0.0,22,140,20,0.0
Bragantia,Agronomic Institute of Campinas,journal,AGRI;MATE,Agricultural and Biological Sciences (all);Materials Science (miscellaneous),0.573,0.340,2.4,2.4,49,1589,10,0.0,47,1510,20,0.0,44,1318,37,2.27
Brazilian Journal of Biology,Instituto Internacional de Ecologia,journal,AGRI,Agricultural and Biological Sciences (all),0.808,0.330,2.9,2.4,331,4391,78,1.51,524,4578,216,0.76,636,4527,323,0.79
Brazilian Journal of Food Technology,Instituto de Tecnologia de Alimentos - ITAL,journal,AGRI,Food Science,0.381,0.244,1.9,2.2,49,666,14,4.08,44,658,19,15.91,33,673,23,21.21
Breeding Science,Japanese Society of Breeding,journal,AGRI;BIOC,Genetics;Agronomy and Crop Science;Plant Science,0.718,0.638,4.3,4.9,41,3339,9,9.76,44,3043,16,20.45,39,2463,33,20.51
BrewingScience,Fachverlag Hans Carl,journal,AGRI;BIOC;IMMU,Biotechnology;Applied Microbiology and Biotechnology;Food Science,0.354,0.155,0.8,1.2,17,203,9,0.0,16,215,9,0.0,9,183,9,0.0
British Food Journal,Emerald Publishing,journal,AGRI,Food Science,1.044,0.795,7.5,6.9,279,9288,14,2.87,279,11052,37,5.02,252,10689,131,6.75
British Poultry Science,Taylor and Francis Ltd.,journal,AGRI,Animal Science and Zoology;Food Science,0.763,0.525,3.4,3.9,104,6996,19,0.0,89,6460,26,3.37,101,5041,86,6.93
British Wildlife,British Wildlife Publishing,journal,AGRI;ENVI,Animal Science and Zoology;Nature and Landscape Conservation;Plant Science,0.148,0.164,0.3,0.4,92,95,83,0.0,55,99,54,1.82,0,82,0,0.0
Brittonia,Springer,journal,AGRI,"Ecology, Evolution, Behavior and Systematics;Plant Science",0.574,0.379,1.0,1.6,39,1378,12,0.0,39,1062,27,0.0,37,816,34,0.0
Brukenthal. Acta Musei,Brukenthal National Museum,journal,ARTS;AGRI;EART,"Conservation;Museology;Visual Arts and Performing Arts;Paleontology;History;Ecology, Evolution, Behavior and Systematics",0.021,0.100,0.1,0.1,71,27,68,0.0,61,26,60,0.0,0,17,0,0.0
Bryologist,American Bryological and Lichenological Society Inc.,journal,AGRI,"Plant Science;Ecology, Evolution, Behavior and Systematics",0.754,0.487,1.9,2.4,38,1200,13,2.63,32,1274,20,3.13,18,837,15,0.0
Buffalo Bulletin,Kasetsart University,journal,VETE;AGRI,Animal Science and Zoology;Veterinary (all),0.477,0.181,0.5,0.5,79,395,58,1.27,67,349,61,7.46,47,286,47,2.13
Bulgarian Journal of Agricultural Science,Agricultural Academy,journal,VETE;AGRI,Agricultural and Biological Sciences (all);Veterinary (all),0.41,0.200,0.9,1.0,168,1607,91,0.6,168,1739,125,0.6,94,1434,84,0.0
Bulleten' Pocvennogo Instituta Imeni V.V. Dokucaeva,V.V. Dokuchaev Soil Science Institute,journal,AGRI,Agricultural and Biological Sciences (miscellaneous);Agronomy and Crop Science;Soil Science,0.497,0.191,0.8,0.9,26,49,14,0.0,28,64,24,3.57,20,42,19,0.0
Bulletin Mensuel de la Societe Linneenne de Lyon,Societe Linneenne de Lyon,journal,AGRI;EART,"Insect Science;Paleontology;Plant Science;Animal Science and Zoology;Ecology, Evolution, Behavior and Systematics",0.017,0.140,0.3,0.2,11,14,8,0.0,16,11,14,0.0,7,11,7,0.0
Bulletin of Botanical Research,Editorial Board of Bulletin of Botanical Research,journal,AGRI,Plant Science;Forestry,0.181,0.137,0.8,0.5,114,126,67,0.0,98,139,74,1.02,79,174,76,5.06
Bulletin of Entomological Research,Cambridge University Press,journal,AGRI,Agronomy and Crop Science;Insect Science,0.716,0.489,3.3,4.0,86,5019,10,4.65,89,4814,36,3.37,67,3994,55,0.0
Bulletin of Insectology,"Department of Agricultural and Food Sciences, University of Bologna",journal,AGRI,Insect Science,0.808,0.399,2.2,2.2,40,1236,17,0.0,36,1330,17,0.0,19,933,17,0.0
Bulletin of Marine Science,Rosenstiel School of Marine and Atmospheric Science,journal,AGRI;EART,Aquatic Science;Oceanography,0.622,0.418,2.4,2.9,33,4342,8,3.03,41,3896,25,0.0,33,3263,31,3.03
Bulletin of Mathematical Biology,Springer,journal,MATH;PHAR;ENVI;BIOC;NEUR;COMP;AGRI;IMMU,"Biochemistry, Genetics and Molecular Biology (all);Immunology;Neuroscience (all);Agricultural and Biological Sciences (all);Mathematics (all);Environmental Science (all);Computational Theory and Mathematics;Pharmacology",0.825,0.610,3.5,3.9,144,7402,17,0.0,124,7866,43,3.23,138,6833,106,0.0
Bulletin of the American Museum of Natural History,American Museum of Natural History Library,bookseries,AGRI;ENVI,Agricultural and Biological Sciences (miscellaneous);Ecology,2.843,1.306,8.5,7.9,3,1115,0,0.0,6,1095,1,0.0,5,916,2,0.0
Bulletin of the British Ornithologists' Club,British Ornithologist's Club,journal,AGRI,"Animal Science and Zoology;Ecology, Evolution, Behavior and Systematics",0.4,0.242,0.9,0.8,40,114,22,2.5,43,156,36,0.0,20,96,20,0.0
Bulletin of the European Association of Fish Pathologists,FRS Marine Laboratory,journal,VETE;AGRI,Small Animals;Aquatic Science,0.236,0.426,1.4,1.2,8,651,4,0.0,9,512,4,0.0,0,477,0,0.0
