title,Author_count,Open_access,Unique_affiliations_count,citedby_count
Variation and attribution of probable maximum precipitation of China using a high-resolution dataset in a changing climate,7,1,4,1
Greenspaces and Cardiovascular Health,3,0,3,5
Will AI accelerate or delay the race to net-zero emissions?,7,1,0,5
How AI is improving climate forecasts,1,0,0,3
Cross-prediction-powered inference,2,1,1,3
Topsoil porosity prediction across habitats at large scales using environmental variables,11,1,1,1
Using process-oriented model output to enhance machine learning-based soil organic carbon prediction in space and time,6,0,5,6
Climate and oceanic condition changes influence subsistence economic adaptation through intensification on the Central Andean coasts,3,0,2,2
Regional multi-objective calibration for distributedobjective calibration for distributed hydrological modelling: A decision tree based approach,8,1,5,0
Focal-TSMP: deep learning for vegetation health prediction and agricultural drought assessment from a regional climate simulation,2,1,2,0
Active Learning-Based Guided Synthesis of Engineered Biochar for CO<inf>2</inf> Capture,6,1,4,6
"Artificial intelligence: Theoretical foundations, applications, and societal implications",1,0,1,0
"Digitalization for sustainable buildings: Technologies, applications, potential, and challenges",3,0,1,16
Ozone and its precursors at an urban site in the Yangtze River Delta since clean air action plan phase II in China,11,0,6,1
"Anatomically modern human dispersals into Europe during MIS 3: Climate stability, paleogeography and habitat suitability",5,0,2,3
Flammulated owl distribution and habitat associations during the breeding season in the western United States,8,0,7,0
A novel flood risk management approach based on future climate and land use change scenarios,8,0,6,10
Assessment of carbon sequestration potential of mining areas under ecological restoration in China,6,0,2,4
Elevating urban sustainability: An intelligent framework for optimizing water-energy-food nexus synergies in metabolic landscapes,4,0,4,2
Predicting environmental impacts of smallholder wheat production by coupling life cycle assessment and machine learning,7,0,2,1
Exploring the association between long-term MODIS aerosol and air pollutants data across the Northern Great Plains through machine learning analysis,6,0,4,0
"Multi-scale carbon emission characterization and prediction based on land use and interpretable machine learning model: A case study of the Yangtze River Delta Region, China",6,0,3,21
Real-time tracking of renewable carbon content with AI-aided approaches during co-processing of biofeedstocks,10,0,2,0
Carbon Monitor Power-Simulators (CMP-SIM v1.0) across countries: a data-driven approach to simulate daily power generation,7,1,7,0
Spatial patterns and drivers of ecosystem multifunctionality in China: Arid vs. humid regions,4,0,3,3
"Development and application of a multi-task oriented deep learning model for quantifying drivers of air pollutant variations: A case study in Taiyuan, China",4,0,5,1
Use of machine learning to identify key factors regulating volatilization of semi-volatile organic chemicals from soil to air,6,0,1,3
Maximizing FCEV Stack Cooling Performance: Developing a Performance Prediction Model Based on Machine Learning for Evaporative Cooling Radiator,6,0,2,2
The 2022 ES&T Best Paper Awards: Continuing Excellence in Environmental Research,6,0,0,0
Research beneficiaries speak,1,1,0,0
Greenhouse gas accounting methodologies for wastewater treatment plants: A review,3,0,1,5
Quantifying the environmental synergistic effect of cooling-air purification-carbon sequestration from urban forest in China,6,0,4,3
Machine learning insights into mental health risk factors associated with climate change: Impact on schoolchildren's cognitive abilities,3,0,1,0
Machine learning applications in catalytic hydrogenation of carbon dioxide to methanol: A comprehensive review,2,0,1,6
Comparing climate pledges and eco-taxation in a networked agricultural supply chain organisation,2,0,3,1
Combining Long Short-Term Memory and Genetic Programming for Monthly Rainfall Downscaling in Southern Thailand's Thale Sap Songkhla River Basin,8,1,6,1
Forks in the road: decisions that have shaped and will shape the teaching and practice of geotechnical engineering,1,1,1,3
Unveiling the drivers of atmospheric methane variability in Iran: A 20-year exploration using spatiotemporal modeling and machine learning,7,1,7,1
Research Advances on Hydrologic Time Series Analysis Methods,5,0,1,1
Distinct controlling factors on the distribution of soil organic carbon stocks at global and biomes scales,5,0,1,0
Deep learning modeling framework for multi-resolution streamflow generation,4,1,2,0
Projected climatic drought events in drought-prone cities: Insights from high-resolution downscaled CMIP6 data,7,1,5,0
"Establishment of ecological farms in the development of ecological agriculture: historical perspective, current progress, and future outlook",7,0,3,0
Developing an innovative machine learning model for rainfall prediction in a semi-arid region,3,1,1,1
Machine learning techniques for flood forecasting,8,1,3,1
Predictive Modeling of Groundwater Recharge under Climate Change Scenarios in the Northern Area of Saudi Arabia,2,1,3,3
Utilizing Hybrid Machine Learning Techniques and Gridded Precipitation Data for Advanced Discharge Simulation in Under-Monitored River Basins,2,1,3,2
Wildfire Scenarios for Assessing Risk of Cover Loss in a Megadiverse Zone within the Colombian Caribbean,4,1,3,1
Using GAMs to Explore the Influence Factors and Their Interactions on Land Surface Temperature: A Case Study in Nanjing,4,1,1,2
Infragravity Wave Oscillation Forecasting in a Shallow Estuary,3,1,2,0
Due Diligence for Deforestation-Free Supply Chains with Copernicus Sentinel-2 Imagery and Machine Learning,7,1,2,0
Combining Multitemporal Optical and Radar Satellite Data for Mapping the Tatra Mountains Non-Forest Plant Communities,3,1,1,2
Analyzing the Impact of Storm ‘Daniel’ and Subsequent Flooding on Thessaly’s Soil Chemistry through Causal Inference,11,1,3,0
Prediction of Degraded Infrastructure Conditions for Railway Operation,5,1,1,0
"Developing automated machine learning approach for fast and robust crop yield prediction using a fusion of remote sensing, soil, and weather dataset",7,1,6,4
Machine Learning Identification of Attributes and Predictors for a Flash Drought in Eastern Australia,3,1,2,1
Burn Severity and Post-Fire Weather Are Key to Predicting Time-To-Recover From Australian Forest Fires,6,1,8,2
Spatial ecology of moose in Sweden: Combined Sr-O-C isotope analyses of bone and antler,4,1,5,0
"The Combination of Low-Cost, Red–Green–Blue (RGB) Image Analysis and Machine Learning to Screen for Barley Plant Resistance to Net Blotch",5,1,3,1
A Novel Convolutional Neural Net Architecture Based on Incorporating Meteorological Variable Inputs into Ultra-Short-Term Photovoltaic Power Forecasting,4,1,2,4
An Evaluation of Sustainable Power System Resilience in the Face of Severe Weather Conditions and Climate Changes: A Comprehensive Review of Current Advances,6,1,2,0
Estimating Carbon Dioxide Emissions from Power Plant Water Vapor Plumes Using Satellite Imagery and Machine Learning,18,1,5,2
High resolution prediction and explanation of groundwater depletion across India,8,1,8,3
"Retraction: Jin, J, Wu, T, Zhang, Z, Fan, J, Lee, X. Application of optimization-based estimation analysis for predicting the compressive strength of eco-friendly modified geopolymer concrete. Structural Concrete. 2022. https://doi.org/10.1002/suco.202201051",,0,0,3
Impact of discrete emotions on audience engagement with climate-change videos on Chinese TikTok (Douyin),2,0,1,0
Rising summer river water temperature across Canada: spatial patterns and hydroclimatic controls,6,1,3,4
Estimating the aboveground biomass of the Hulunbuir Grassland and exploring its spatial and temporal variations over the past ten years,5,1,3,2
A scalable crop yield estimation framework based on remote sensing of solar-induced chlorophyll fluorescence (SIF),10,1,4,4
Prediction of daily river water temperatures using an optimized model based on NARX networks,10,1,5,5
"Mechanisms of climate change impacts on vegetation and prediction of changes on the Loess Plateau, China",7,0,4,4
The graft-versus-host problem for data-driven gravity-wave parameterizations in a one-dimensional quasibiennial oscillation model,6,0,2,0
Evaluating water availability and flow characteristics for Dikrong river in Arunachal Pradesh using Acoustic Doppler Current Profiler,4,0,1,0
"Transforming desertification patterns in Asia: Evaluating trends, drivers, and climate change impacts from 1990 to 2022",5,1,5,4
Machine Learning-Based Water Management Strategies for Sustainable Groundwater Resources,2,0,1,2
Chlorophyll-a unveiled: unlocking reservoir insights through remote sensing in a subtropical reservoir,5,1,6,3
Machine learning-based predictions of current and future susceptibility to retrogressive thaw slumps across the Northern Hemisphere,7,1,3,5
Urban ozone variability using automated machine learning: inference from different feature importance schemes,6,0,5,0
Is Sundarban coming out of abject poverty as the government pursues Sustainable Development Goals?,6,0,1,0
Predicting future climate change impacts on the potential distribution of the black howler monkey (Alouatta pigra): an endangered arboreal primate,3,0,2,1
Combining a climate-permafrost model with fine resolution remote sensor products to quantify active-layer thickness at local scales,5,1,3,0
Assessing the impact of anthropogenic activities on land use and land cover changes in the semi-arid and arid regions of Algeria,3,0,3,3
Social determinants of health: the need for data science methods and capacity,10,1,7,2
Monitoring tree canopy dynamics across heterogeneous urban habitats: A longitudinal study using multi-source remote sensing data,2,0,1,0
Response of the cultivation suitability of Pu'er tea (Camellia sinensis var. assamica) to climate conditions and change in China,8,0,2,0
Predicting land cover driven ecosystem service value using artificial neural network model,4,0,4,2
"Evaluating the future total water storage change and hydrological drought under climate change over lake basins, East Africa",10,0,9,0
Assessing the growing threat of heat stress in the North Africa and Arabian Peninsula region connected to climate change,5,0,6,2
"Future prediction of biogas potential and CH<inf>4</inf> emission with boosting algorithms: the case of cattle, small ruminant, and poultry manure from Turkey",4,1,1,0
Analysing the spatiotemporal variation and influencing factors of Lake Chaohu's CDOM over the past 40 years using machine learning,7,0,1,0
Multi-pronged abundance prediction of bee pests’ spatial proliferation in Kenya,6,1,2,0
A new interpretable streamflow prediction approach based on SWAT-BiLSTM and SHAP,2,0,1,3
Machine learning assisted prediction of solar to liquid fuel production: a case study,10,1,7,18
Predicting potential occurrence of Adelges tsugae (Homoptera: Adelgidae) on a global scale under climate change scenarios using maximum entropy model,4,1,1,0
C2A-DC: A context-aware adaptive data cube framework for environmental monitoring and climate change crisis management,6,1,2,4
Spatial-temporal patterns of land surface evapotranspiration from global products,18,0,10,7
Machine learning techniques to predict atmospheric black carbon in a tropical coastal environment,5,0,3,4
Tropical cyclone risk assessment reflecting the climate change trend: the case of South Korea,3,0,1,1
Developing unbiased estimation of atmospheric methane via machine learning and multiobjective programming based on TROPOMI and GOSAT data,10,0,6,0
Climate and biodiversity change constrain the flow of cultural ecosystem services to people: A case study modeling birding across Africa under future climate scenarios,2,1,1,3
Short-term dynamics of beaver dam flow states,3,1,2,3
Deep learning-driven regional drought assessment: an optimized perspective,3,0,2,2
"Soil organic carbon fractions in China: Spatial distribution, drivers, and future changes",5,0,3,1
"Comprehensive Insights into Harmful Algal Blooms: A Review of Chemical, Physical, Biological, and Climatological Influencers with Predictive Modeling Approaches",4,0,2,3
Predicting temporal and spatial 4-D ocean temperature using satellite data based on a novel deep learning model,5,0,5,2
"Exposure to particulate matter and ozone, locations of regulatory monitors, and sociodemographic disparities in the city of Rio de Janeiro: Based on local air pollution estimates generated from machine learning models",4,1,3,1
Biogeomorphological niche of a landform: Machine learning approaches reveal controls on the geographical distribution of Nitraria tangutorum nebkhas,6,0,4,2
Scale matters: Spatial resolution impacts tropical leaf phenology characterized by multi-source satellite remote sensing with an ecological-constrained deep learning model,11,0,7,4
Sustainable energy management in electric vehicle secure monitoring and blockchain machine learning model,3,0,1,4
Dominant Expression of SAR Backscatter in Predicting Aboveground Biomass: Integrating Multi-Sensor Data and Machine Learning in Sikkim Himalaya,7,0,3,4
Forest Aboveground Biomass and Forest Height Estimation Over a Sub-tropical Forest Using Machine Learning Algorithm and Synthetic Aperture Radar Data,2,0,2,3
Exploitation of the ensemble-based machine learning strategies to elevate the precision of CORDEX regional simulations in precipitation projection,5,0,2,0
Assessment of rainfall and climate change patterns via machine learning tools and impact on forecasting in the City of Kigali,8,0,7,1
"Enhancing flood-response commuting resilience via driving mechanism investigation: New evidence from Wuhan, China",9,0,5,0
"Unlocking the potential of ZIF-based electrocatalysts for electrochemical reduction of CO<inf>2</inf>: Recent advances, current trends, and machine learnings",10,0,1,12
How useful are genomic data for predicting maladaptation to future climate?,10,1,4,12
Anopheles mosquitoes in Morocco: implication for public health and underlined challenges for malaria re-establishment prevention under current and future climate conditions,3,0,3,1
Application of hybrid model-based machine learning for groundwater potential prediction in the north central of Vietnam,10,0,5,5
Advancing C<inf>5+</inf> hydrocarbons fuels production: An interpretable machine learning framework for Co-catalyzed syngas conversion,5,0,2,1
"Deep learning–based long short-term memory recurrent neural networks for monthly rainfall forecasting in Ghana, West Africa",1,0,1,2
Comparison of the hybrid of radiative transfer model and machine learning methods in leaf area index of grassland mapping,4,0,4,1
A comparative analysis of deep learning models for soil temperature prediction in cold climates,7,0,3,2
Downscaling and reconstruction of high-resolution gridded rainfall data over India using deep learning-based generative adversarial network,3,0,1,1
The risk co-de model: detecting psychosocial processes of risk perception in natural language through machine learning,1,1,1,1
Glacial lakes mapping using satellite images and deep learning algorithms in Northwestern Indian Himalayas,2,0,1,1
Dynamic weighted ensemble for diarrhoea incidence predictions,7,0,6,0
"Interpolation, Satellite-Based Machine Learning, or Meteorological Simulation? A Comparison Analysis for Spatio-temporal Mapping of Mesoscale Urban Air Temperature",4,1,1,4
Explainable machine learning for revealing causes of citrus fruit cracking on a regional scale,7,0,3,2
Toward presenting an ensemble meta-model for evaluation of pozzolanic mixtures incorporating industrial by-products,5,0,4,3
Precipitation prediction in several Chinese regions using machine learning methods,3,0,2,0
Spatio-temporal model and machine learning method reveal patterns and processes of migration under climate change,4,1,2,5
Climate risks to soy-maize double-cropping due to Amazon deforestation,3,0,1,2
Aggravation of global maize yield loss risk under various hot and dry scenarios using multiple types of prediction approaches,4,0,5,0
Compounding effects in flood drivers challenge estimates of extreme river floods,4,1,6,7
In science journals,1,1,0,0
Global supply chains amplify economic costs of future extreme heat risk,14,1,12,16
Positive effects of public breeding on US rice yields under future climate scenarios,6,1,4,1
Wavelet Based Multiscale Deep Learning Algorithms for Arctic Sea Ice Melting Prediction,4,0,1,0
Approaches to conservation of gastronomic heritage in the process of industry 4.0 and climate change,1,0,1,0
Machine learning methods to predict sea surface temperature and marine heatwave occurrence: a case study of the Mediterranean Sea,5,1,2,8
Three reasons why AI doesn’t model human language,4,0,0,2
More enhanced non-growing season methane exchanges under warming on the Qinghai-Tibetan Plateau,14,0,10,1
A European-scale analysis reveals the complex roles of anthropogenic and climatic factors in driving the initiation of large wildfires,3,1,2,3
"Carbon capture, utilization and sequestration systems design and operation optimization: Assessment and perspectives of artificial intelligence opportunities",5,0,3,13
Issues of Sustainability in AI and New-Age Thematic Investing,4,0,4,8
Advanced geospatial practices in natural environment resource management,2,0,2,0
Using Machine Learning to Improve Interactive Visualizations for Large Collected Traffic Detector Data,3,1,1,0
Research Trends in Machine Learning Applications for Predicting Ecosystem Responses to Environmental Changes,4,1,2,0
Data-driven economic predictive control for sustainable management of renewable energy systems,3,1,2,0
Reconstruction of 3D DPR Observations Using GMI Radiances,5,1,4,0
Implications of Machine Learning in the Generation of Renewable Energies in Latin America from a Globalized Vision: A Systematic Review,5,1,5,0
Effectiveness of Random Forest Model in Predicting Stock Prices of Solar Energy Companies in India,5,1,5,2
Big data in Earth science: Emerging practice and promise,3,0,3,15
"Recent developments and current trends on catalytic dry reforming of Methane: Hydrogen Production, thermodynamics analysis, techno feasibility, and machine learning",6,0,1,10
"From risk to resilience: Climate change risk, ESG investments engagement and Firm's value",3,1,2,11
"A prediction-based model to optimize construction programs: Considering time, cost, energy consumption, and CO<inf>2</inf> emissions trade-off",2,0,1,2
Analysis of different existing measurement-based methods and a new approach for frost probability detection,5,0,3,0
Prioritizing ecological restoration in hydrologically sensitive areas to improve groundwater quality,8,0,3,1
Statistical downscaling of maximum temperature under CMIP6 global climate models and evaluation of heat wave events using deep learning methods for Indo-Gangetic Plain,5,0,2,3
Sustainable management of heritage buildings in long-term perspective (SyMBoL): current knowledge and further research needs,2,1,1,3
Deep learning for monthly rainfall–runoff modelling: a large-sample comparison with conceptual models across Australia,4,1,1,6
"Principles based accounting standards, audit fees and going concern: evidence using advanced machine learning",1,0,1,0
Predictive modeling of land surface temperature (LST) based on Landsat-8 satellite data and machine learning models for sustainable development,9,0,11,19
A Framework for Assessing the Drivers and Impacts of Drought Events: The Contemporary Drought in the Western and Central United States,2,0,1,0
Carbon cycle responses to climate change across China's terrestrial ecosystem: Sensitivity and driving process,6,0,5,4
"MONITORING FOREST DEGRADATION OVER FOUR DECADES USING REMOTE SENSING AND MACHINE LEARNING CLASSIFICATION ALGORITHMS IN BOUSKOURA, MOROCCO",6,1,1,0
"Spatial disparities of ozone pollution in the Sichuan Basin spurred by extreme, hot weather",13,1,4,2
Machine Learning Provides Opportunities to Recognize Greenhouse Gas Emissions from Water at a Large Scale,3,0,2,5
Nitrification in the Amazon River plume,4,1,1,1
Strengthening resilience: AI and machine learning in emergency decision-making for natural disasters,2,0,1,12
Complications in natural disasters,4,0,2,0
Saccharomycotina yeasts defy long-standing macroecological patterns,11,1,8,2
Hotspot mapping and risk prediction of fluoride in natural waters across the Tibetan Plateau,4,0,3,1
Powering the future: Application of machine learning to analyze the global renewable energy consumption,1,0,1,0
A Review of Cooling and Heating Loads Predictions of Residential Buildings Using Data-Driven Techniques,2,1,1,2
A machine learning framework for predicting weather impact on retail sales,2,1,1,0
Climate Change Prediction Utilizing Machine Learning Techniques,2,0,1,0
Flood prediction based on feature selection and a hybrid deep learning network,3,1,2,3
"Assessment of surface water dynamics through satellite mapping with Google Earth Engine and Sentinel-2 data in Manipur, India",4,1,1,1
"A Review on Machine/Deep Learning Techniques Applied to Building Energy Simulation, Optimization and Management",3,1,1,3
Identification of Time-Varying Conceptual Hydrological Model Parameters with Differentiable Parameter Learning,6,1,2,0
Urbanization Effects in Estimating Surface Air Temperature Trends in the Contiguous United States,3,1,4,0
A Non-Intrusive Machine Learning Framework for Debiasing Long-Time Coarse Resolution Climate Simulations and Quantifying Rare Events Statistics,6,1,2,2
SYNERGIZING LANDSAT-8 AND MODIS DATA FOR ENHANCED PADDY PHENOLOGY ASSESSMENT AND CROP FREQUENCY MAPPING: A FUSION OF PHENOLOGICAL INSIGHTS AND MACHINE LEARNING ALGORITHMS,3,1,1,0
Identifying Spatial Determinants of Rice Yields in Main Producing Areas of China Using Geospatial Machine Learning,3,1,2,0
Comparison of Machine Learning Models in Simulating Glacier Mass Balance: Insights from Maritime and Continental Glaciers in High Mountain Asia,7,1,3,2
Transfer Learning with ResNet3D-101 for Global Prediction of High Aerosol Concentrations,5,1,1,3
Downscaling and Wind Resource Assessment of Climatic Wind Speed Data Based on Deep Learning: A Case Study of the Tengger Desert Wind Farm,3,1,3,1
High-Resolution Temperature Evolution Maps of Bangladesh via Data-Driven Learning,5,1,4,0
A Deep Learning-Based Downscaling Method Considering the Impact on Typhoons to Future Precipitation in Taiwan,3,1,1,0
An Appraisal of the Progress in Utilizing Radiosondes and Satellites for Monitoring Upper Air Temperature Profiles,7,1,3,0
Geospatial Insights into Aridity Conditions: MODIS Products and GIS Modeling in Northeast Brazil,14,1,8,2
Advancements in Downscaling Global Climate Model Temperature Data in Southeast Asia: A Machine Learning Approach,1,1,1,5
UAV-Based Wetland Monitoring: Multispectral and Lidar Fusion with Random Forest Classification,5,1,1,0
Can Ensemble Techniques and Large-Scale Fire Datasets Improve Predictions of Forest Fire Probability Due to Climate Change?—A Case Study from the Republic of Korea,3,1,2,1
Artificial Intelligence: A Promising Tool for Application in Phytopathology,5,1,1,7
A Review of Machine Learning Techniques in Agroclimatic Studies,3,1,2,2
Ignoring Plant Physiological Responses to Elevated CO<inf>2</inf> Will Overestimate Terrestrial Vertebrate Biodiversity Loss Under Global Climate Change,2,1,2,0
Learning from climate change news: Is the world on the same page?,3,1,1,0
Global Forest Plantations Mapping and Biomass Carbon Estimation,11,0,6,3
Comparison and Optimization of Ground-Level NO<inf>2</inf> Concentration Estimation in China Based on TROPOMI and OMI,6,1,3,1
A review of using deep learning from an ecology perspective to address climate change and air pollution,7,0,4,0
Uncovering Current and Future Variations of Irrigation Water Use Across China Using Machine Learning,5,1,5,3
Using Probabilistic Machine Learning Methods to Improve Beef Cattle Price Modeling and Promote Beef Production Efficiency and Sustainability in Canada,3,1,2,2
Geologic Controls on Apparent Root-Zone Storage Capacity,5,1,3,4
Estimating Winter Cover Crop Biomass in France Using Optical Sentinel-2 Dense Image Time Series and Machine Learning,7,1,2,2
Forest Canopy Height Retrieval and Analysis Using Random Forest Model with Multi-Source Remote Sensing Integration,7,1,3,2
Modeling Dynamic Processes in the Black Sea Pelagic Habitat—Causal Connections between Abiotic and Biotic Factors in Two Climate Change Scenarios,6,1,1,2
Spatial Downscaling of ERA5 Reanalysis Air Temperature Data Based on Stacking Ensemble Learning,3,1,2,1
"Multivariable Air-Quality Prediction and Modelling via Hybrid Machine Learning: A Case Study for Craiova, Romania",3,1,3,4
Cloud–Aerosol Classification Based on the U-Net Model and Automatic Denoising CALIOP Data,8,1,2,2
Global patterns of tree wood density,19,1,14,7
Crop yield prediction in Ethiopia based on machine learning under future climate scenarios,10,0,4,3
Estimating Sugarcane Aboveground Biomass and Carbon Stock Using the Combined Time Series of Sentinel Data with Machine Learning Algorithms,5,1,3,5
Digital Twin Platform for Water Treatment Plants Using Microservices Architecture,3,1,2,4
Unravelling the role of tropical cyclones in shaping present species distributions,3,0,2,0
Atlantic salmon habitat-abundance modeling using machine learning methods,6,1,2,2
Australia’s Tinderbox Drought: An extreme natural event likely worsened by human-caused climate change,22,1,10,8
Modeling and forecasting rainfall patterns in India: a time series analysis with XGBoost algorithm,8,0,8,4
Declining calcium concentration drives shifts toward smaller and less nutritious zooplankton in northern lakes,15,1,8,3
A novel machine learning tool for current and future flood susceptibility mapping by integrating remote sensing and geographic information systems,4,0,4,16
A novel method for robust marine habitat mapping using a kernelised aquatic vegetation index,6,1,3,2
Data-Driven Equation Discovery of a Cloud Cover Parameterization,4,1,4,4
Inorganic carbon is overlooked in global soil carbon research: A bibliometric analysis,14,1,16,13
Predicting and analyzing the algal population dynamics of a grass-type lake with explainable machine learning,6,0,4,5
Mitigating nitrogen losses with almost no crop yield penalty during extremely wet years,12,1,12,3
Random Frogs: using future climate and land-use scenarios to predict amphibian distribution change in the Upper Missouri River Basin,3,1,4,0
Satellite-based ensemble intelligent approach for predicting forest fire: a case of the Hyrcanian forest in Iran,3,0,4,1
Modelling the effects of climate and management on the distribution of deadwood in European forests,6,1,1,3
AGB estimation using Sentinel-2 and Sentinel-1 datasets,2,0,1,0
"A systematic review of fourth industrial revolution technologies in smart irrigation: Constraints, opportunities, and future prospects for sub-Saharan Africa",7,1,5,6
Air quality and urban climate improvements in the world s most populated region during the COVID-19 pandemic,6,1,4,2
Compound drought and hot stresses projected to be key constraints on maize production in Northeast China under future climate,4,0,2,1
Probabilistic post-processing of short to medium range temperature forecasts: Implications for heatwave prediction in India,2,0,1,0
Novel time-lag informed deep learning framework for enhanced streamflow prediction and flood early warning in large-scale catchments,6,1,2,5
Deep learning rapid flood risk predictions for climate resilience planning,3,1,3,5
Unveiling CO<inf>2</inf> capture in tailorable green neoteric solvents: An ensemble learning approach informed by quantum chemistry,2,0,1,1
Tree-structured parzen estimator optimized-automated machine learning assisted by meta–analysis for predicting biochar–driven N<inf>2</inf>O mitigation effect in constructed wetlands,5,0,2,6
"Lake Water Temperature Modeling in an Era of Climate Change: Data Sources, Models, and Future Prospects",11,1,11,18
Does environmental carbon pressure lead to low-carbon technology innovation? Empirical evidence from Chinese cities based on satellite remote sensing and machine learning,7,0,4,2
Advantages of modeling the urban heat island intensity: A tool for implementing nature-based solutions,4,0,1,10
Modeling the effects of climate change on the habitat suitability of Mediterranean gorgonians,2,0,1,1
Projection of future drought impacts on millet yield in northern Shanxi of China using ensemble machine learning approach,8,0,2,1
Harnessing quantum computing for smart agriculture: Empowering sustainable crop management and yield optimization,5,0,3,9
A systemic efficiency measurement of resource management and sustainable practices: A network bias-corrected DEA assessment of OECD countries,3,0,4,5
Digital mapping of soil properties in the high latitudes of Russia using sparse data,4,0,2,4
"Integrating Data Envelopment Analysis and Machine Learning Approaches for Energy Optimization, Decreased Carbon Footprints, and Wheat Yield Prediction Across North-Western India",3,0,2,6
A physics-informed machine learning model for time-dependent wave runup prediction,2,1,1,2
"Integrating geospatial, remote sensing, and machine learning for climate-induced forest fire susceptibility mapping in Similipal Tiger Reserve, India",5,1,3,14
Monitoring carbon emissions using deep learning and statistical process control: a strategy for impact assessment of governments’ carbon reduction policies,3,1,1,2
Human Extinction and AI: What We Can Learn from the Ultimate Threat,2,1,3,5
Digital soil mapping in the Russian Federation: A review,3,0,5,3
"Spirometry, computed tomography, comorbidities, oxygen therapy and other topics in chronic obstructive pulmonary disease and an update on silicosis",2,0,2,0
A Rapid Assessment Method for Flood Risk Mapping Integrating Aerial Point Clouds and Deep Learning,9,0,3,1
Satellite remote sensing can provide semi-automated monitoring to aid coastal decision-making,3,1,4,3
From sequence to function and back – High-throughput sequence-function mapping in synthetic biology,4,1,2,3
A predictive machine learning model for estimating wave energy based on wave conditions relevant to coastal regions,6,1,4,5
"Climate-Proofing Critical Energy Infrastructure: Smart Grids, Artificial Intelligence, and Machine Learning for Power System Resilience against Extreme Weather Events",1,0,3,5
A Classification Model Using Personal Biometric Characteristics to Identify Individuals Vulnerable to an Extremely Hot Environment,4,0,2,3
Pluvial flood risk assessment for 2021–2050 under climate change scenarios in the Metropolitan City of Venice,4,1,2,4
A time-continuous land surface temperature (LST) data fusion approach based on deep learning with microwave remote sensing and high-density ground truth observations,7,0,2,4
"Mining soil data of Switzerland: New maps for soil texture, soil organic carbon, nitrogen, and phosphorus",3,1,1,1
Aerosol classification by application of machine learning spectral clustering algorithm,5,0,4,4
Real-time carbon footprint assessment based on energy consumption: A comprehensive review for future research prospects,2,0,1,8
"Establishing the global isoscape of leaf carbon in C3 plants through the integrations of remote sensing, carbon, geographic, and physiological information",13,0,13,3
"A machine learning framework to estimate residential electricity demand based on smart meter electricity, climate, building characteristics, and socioeconomic datasets",6,0,2,6
Assessing Climate Vulnerability of Ramsar Wetlands through CMIP6 Projections,3,0,1,5
Ecological niche modelling and population genomics provide insights into the geographic and demographic ‘explosion’ of a non-indigenous salmonid,5,1,1,0
"A comparative study of Machine Learning and Deep Learning methods for flood forecasting in the Far-North region, Cameroon",6,1,5,14
Electrocatalytic CO<inf>2</inf> reduction to C<inf>2</inf>H<inf>4</inf>: From lab to fab,13,1,5,7
How does new energy demonstration city pilot policy affect carbon dioxide emissions? Evidence from a quasi-natural experiment in China,6,0,4,12
"“Forest carbon sequestration mapping and economic quantification infusing MLPnn-Markov chain and InVEST carbon model in Askot Wildlife Sanctuary, Western Himalaya”",4,1,3,13
Creating granular climate zones for future-proof building design in the UK,5,1,2,2
Climate bonds toward achieving net zero emissions and carbon neutrality: Evidence from machine learning technique,3,1,3,1
Optimising carbon fixation through agroforestry: Estimation of aboveground biomass using multi-sensor data synergy and machine learning,10,1,3,11
"Classifying forest cover and mapping forest fire susceptibility in Dak Nong province, Vietnam utilizing remote sensing and machine learning",4,1,4,15
Predicting the climate impact of healthcare facilities using gradient boosting machines,8,1,3,3
Modern omics toolbox for producing combined and multifactorial abiotic stress tolerant plants,5,1,1,9
Application of multiple spatial interpolation approaches to annual rainfall data in the Wadi Cheliff basin (north Algeria),5,1,5,2
Spatiotemporal prediction of daily air temperature using remote sensing and machine learning in Morocco,4,0,3,0
Modeling climate change impacts on vector-borne disease using machine learning models: Case study of Visceral leishmaniasis (Kala-azar) from Indian state of Bihar,3,0,1,10
A Comparative and Systematic Study of Machine Learning (ML) Approaches for Particulate Matter (PM) Prediction,4,0,1,2
"Toward a Sustainable Internet of Underwater Things Based on AUVs, SWIPT, and Reinforcement Learning",6,0,1,2
Inorganic Hydrogeochemistry in the 21st Century,3,0,2,0
Multivariate Modeling of Precipitation-Induced Home Insurance Risks Using Data Depth,3,0,4,0
Chinese cities as digital environmental governance innovators: Evidence from subnational low-Carbon plans,4,0,3,3
An Intelligent IoT-Cloud-Based Air Pollution Forecasting Model Using Univariate Time-Series Analysis,2,1,1,12
Evaluation of Stratocumulus Evolution Under Contrasting Temperature Advections in CESM2 Through a Lagrangian Framework,3,1,3,1
Global Precipitation Correction Across a Range of Climates Using CycleGAN,7,1,2,0
Anzali Wetland Crisis: Unraveling the Decline of Iran's Ecological Gem,10,0,7,45
Assessing greenhouse gas emissions in Cuban agricultural soils: Implications for climate change and rice (Oryza sativa L.) production,5,0,3,4
Application of a comparative analysis of random forest programming to predict the strength of environmentally-friendly geopolymer concrete,2,0,2,0
Estimating fossil CO<inf>2</inf> emissions from COVID-19 post-pandemic recovery in G20: A machine learning approach,4,0,3,1
Study on spatiotemporal dynamic characteristics of precipitation and causes of waterlogging based on a data-driven framework,6,0,2,5
Fertilizer management for global ammonia emission reduction,19,0,8,18
