title,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024,publisher,citeScoreTracker_2024,citeScoreCurrentMetric_2023
Complex System Modeling and Simulation,journal,ENGI,Industrial and Manufacturing Engineering;Electrical and Electronic Engineering;Control and Systems Engineering,1.203,1.298,24,166,1,0.0,24,303,1,0.0,6,483,3,0.0,Tsinghua University Press,13.3,7.8
Complex Systems,journal,ENGI;COMP,Control and Systems Engineering;Computer Science (all),0.783,0.285,19,96,11,0.0,17,110,12,0.0,9,93,9,0.0,"Complex Systems Publications, Inc",0.8,1.8
Complex Systems Informatics and Modeling Quarterly,journal,BUSI;ENGI;COMP,"Business, Management and Accounting (miscellaneous);Information Systems;Engineering (miscellaneous);Artificial Intelligence",0.626,0.280,19,72,8,0.0,20,107,11,0.0,11,122,10,0.0,Riga Technical University,2.9,2.3
Complex Systems and Complexity Science,journal,ENGI,Control and Systems Engineering,0.329,0.170,53,158,26,0.0,55,167,40,0.0,40,117,38,2.5,fu za xi tong yu fu za xing ke xue bian ji bu,0.8,0.8
Complex and Intelligent Systems,journal,ENGI;MATH;COMP,Information Systems;Engineering (miscellaneous);Computational Mathematics;Artificial Intelligence,1.876,1.321,332,3126,19,0.3,429,5522,54,0.23,463,6755,280,0.0,Springer International Publishing AG,10.1,9.6
Composite Structures,journal,ENGI;MATE,Ceramics and Composites;Civil and Structural Engineering,2.009,1.601,1206,68560,23,1.74,1173,75552,61,2.73,726,81613,268,3.17,Elsevier B.V.,13.8,12.0
Composites Communications,journal,ENGI;MATE,Materials Chemistry;Polymers and Plastics;Mechanics of Materials;Ceramics and Composites,1.28,1.391,340,6884,9,0.59,308,8788,14,0.65,341,10273,180,3.52,Elsevier Ltd,11.8,12.1
Composites Part A: Applied Science and Manufacturing,journal,ENGI;MATE,Mechanics of Materials;Ceramics and Composites,1.848,1.688,479,44345,5,4.8,460,43990,17,4.78,584,44654,246,2.91,Elsevier Ltd,13.8,15.2
Composites Part B: Engineering,journal,ENGI;MATE,Industrial and Manufacturing Engineering;Mechanical Engineering;Mechanics of Materials;Ceramics and Composites,2.599,2.802,756,78489,12,5.16,555,84521,10,6.13,639,87708,230,4.85,Elsevier Ltd,23.9,24.4
Composites Part C: Open Access,journal,ENGI;MATE,Mechanical Engineering;Mechanics of Materials;Ceramics and Composites,1.7,1.031,106,1084,6,18.87,90,1971,9,4.44,104,2792,55,10.58,Elsevier B.V.,10.7,8.6
Composites Science and Technology,journal,ENGI;MATE,Engineering (all);Ceramics and Composites,1.699,1.800,594,51102,4,2.53,405,50961,7,1.48,488,49980,208,1.02,Elsevier B.V.,15.6,16.2
Composites Theory and Practice,journal,ENGI;MATE,Mechanics of Materials;Mechanical Engineering;Materials Chemistry;Ceramics and Composites,0.237,0.170,33,49,15,0.0,32,68,25,0.0,27,83,24,0.0,Polish Society of Composite Materials,1.1,1.2
"Composites: Mechanics, Computations, Applications",journal,ENGI;MATE,Mechanics of Materials;Ceramics and Composites,0.103,0.126,26,54,18,0.0,21,73,13,0.0,25,76,22,0.0,Begell House Inc.,0.7,0.6
Comptes Rendus - Mecanique,journal,ENGI;MATE,Materials Science (all);Mechanics of Materials,0.58,0.250,45,2285,17,4.44,92,2180,58,2.17,13,2009,11,0.0,Academie des sciences,1.6,1.4
Computational Continuum Mechanics,journal,PHYS;ENGI;MATH,Mechanical Engineering;Computational Mechanics;Applied Mathematics;Condensed Matter Physics,0.59,0.256,38,46,21,0.0,42,71,26,0.0,22,48,21,0.0,Institute of Continuous Media Mechanics,1.1,1.0
Computational Materials Science,journal,MATH;PHYS;MATE;CHEM;ENGI;COMP,Physics and Astronomy (all);Materials Science (all);Computational Mathematics;Computer Science (all);Chemistry (all);Mechanics of Materials,0.961,0.741,653,35154,59,0.61,605,35737,84,0.33,675,36383,375,0.15,Elsevier B.V.,6.1,6.5
Computational Mechanics,journal,ENGI;MATH;COMP,Mechanical Engineering;Computational Theory and Mathematics;Computational Mathematics;Ocean Engineering;Computational Mechanics;Applied Mathematics,1.287,1.265,143,9173,10,0.7,132,9177,17,1.52,207,8706,125,0.97,Springer Verlag,7.6,7.8
Computational Methods in Applied Sciences,bookseries,CENG;ENGI;MATH;COMP,Modeling and Simulation;Civil and Structural Engineering;Computational Mathematics;Electrical and Electronic Engineering;Biomedical Engineering;Computer Science Applications;Fluid Flow and Transfer Processes,0.302,0.139,44,527,26,0.0,1,493,0,0.0,17,460,16,0.0,Springer,1.5,2.4
Computational Particle Mechanics,journal,CENG;ENGI;MATH,Modeling and Simulation;Civil and Structural Engineering;Numerical Analysis;Computational Mathematics;Computational Mechanics;Fluid Flow and Transfer Processes,1.289,0.845,81,1281,11,1.23,129,1492,20,0.78,243,1761,152,0.82,Springer International Publishing AG,5.1,5.7
Computational and Experimental Methods in Structures,bookseries,ENGI;MATE,"Ceramics and Composites;Civil and Structural Engineering;Mechanical Engineering;Electronic, Optical and Magnetic Materials;Computational Mechanics",0.284,0.124,9,19,3,0.0,14,24,11,0.0,8,17,8,12.5,World Scientific,0.6,0.6
Computational and Mathematical Methods,journal,ENGI;MATH;COMP,Computational Theory and Mathematics;Computational Mechanics;Computational Mathematics,0.539,0.295,7,194,1,0.0,14,202,6,0.0,9,186,8,0.0,Wiley-Blackwell Publishing Ltd,2.6,2.2
Computer Aided Geometric Design,journal,ENGI;MATH;COMP,Aerospace Engineering;Modeling and Simulation;Computer Graphics and Computer-Aided Design;Automotive Engineering,1.138,0.602,52,2401,11,0.0,40,2294,16,0.0,85,1913,72,1.18,Elsevier B.V.,2.3,3.5
Computer Applications in Engineering Education,journal,ENGI;SOCI;COMP,Education;Engineering (all);Computer Science (all),1.371,0.715,120,2491,12,5.0,106,2833,26,5.66,121,3189,85,4.96,John Wiley & Sons Inc.,8.0,7.2
Computer Assisted Methods in Engineering and Science,journal,ENGI;COMP,Mechanical Engineering;Computer Science Applications;Computational Mechanics,0.663,0.230,19,109,6,5.26,33,135,12,0.0,14,119,13,0.0,"Institute of Fundamental Technological Research, Polish Academy of Sciences",2.1,1.8
Computer Methods and Programs in Biomedicine Update,journal,ENGI;MEDI;COMP,Biomedical Engineering;Computer Science Applications;Medicine (miscellaneous);Computer Science (miscellaneous),1.3,0.731,37,209,5,8.11,38,451,10,7.89,36,548,24,16.67,Elsevier B.V.,8.1,5.9
Computer Methods in Applied Mechanics and Engineering,journal,PHYS;ENGI;COMP,Mechanical Engineering;Physics and Astronomy (all);Computer Science Applications;Computational Mechanics;Mechanics of Materials,2.099,2.397,718,46507,16,0.0,613,48707,66,0.33,836,51124,430,0.36,Elsevier B.V.,11.9,12.7
Computer Methods in Biomechanics and Biomedical Engineering,journal,CENG;ENGI;COMP,Human-Computer Interaction;Bioengineering;Computer Science Applications;Biomedical Engineering,0.922,0.421,150,4305,20,0.0,226,4449,76,0.0,334,3990,209,0.0,Informa Healthcare,3.8,4.1
Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization,journal,ENGI;MEDI;COMP,"Biomedical Engineering;Computer Science Applications;Radiology, Nuclear Medicine and Imaging;Computational Mechanics",0.677,0.486,72,923,14,0.0,210,1087,69,0.0,92,1043,61,0.0,Taylor and Francis Ltd.,3.2,2.8
Computer Music Journal,journal,ARTS;ENGI;COMP,Media Technology;Music;Computer Science Applications,0.689,0.220,29,605,20,3.45,12,624,7,0.0,0,430,0,0.0,MIT Press Journals,1.4,1.8
Computer Optics,journal,ENGI;COMP,Engineering (miscellaneous);Computer Vision and Pattern Recognition,0.575,0.251,109,1360,22,0.0,109,1319,47,0.0,36,787,16,0.0,"Institution of Russian Academy of Sciences, Image Processing Systems Institute of RAS",3.8,4.2
Computer Systems Science and Engineering,journal,ENGI;MATH;COMP,Theoretical Computer Science;Control and Systems Engineering;Computer Science (all),0.739,0.357,319,1298,47,1.88,665,2483,151,0.3,27,2594,17,3.7,Tech Science Press,4.8,3.1
Computer-Aided Civil and Infrastructure Engineering,journal,ENGI;COMP,Computer Science Applications;Computer Graphics and Computer-Aided Design;Computational Theory and Mathematics;Civil and Structural Engineering,3.034,2.972,119,8226,10,0.0,143,9004,13,0.0,241,9415,116,0.0,Wiley-Blackwell Publishing Ltd,16.6,17.6
Computers and Concrete,journal,ENGI,Computational Mechanics,0.968,0.604,68,2314,15,0.0,94,2210,41,0.0,86,2097,66,1.16,Techno-Press,4.5,8.6
Computers and Electrical Engineering,journal,ENGI;COMP,Electrical and Electronic Engineering;Control and Systems Engineering;Computer Science (all),1.395,1.041,693,13654,46,0.0,457,17298,49,0.0,678,16460,486,0.0,Elsevier Ltd,9.6,9.2
Computers and Fluids,journal,ENGI;COMP,Engineering (all);Computer Science (all),1.222,0.885,236,14671,14,0.42,238,14167,40,1.26,243,13003,151,1.65,Elsevier Ltd,5.2,5.3
Computers and Graphics (Pergamon),journal,ENGI;COMP,Signal Processing;Software;Engineering (all);Computer Graphics and Computer-Aided Design;Computer Vision and Pattern Recognition;Human-Computer Interaction,0.983,0.791,206,4004,50,0.0,229,4189,70,0.0,202,4090,164,0.0,Elsevier Ltd,5.4,5.3
Computers and Industrial Engineering,journal,DECI;ENGI;COMP,Engineering (all);Management Science and Operations Research;Computer Science (all),2.014,1.701,833,34174,23,0.12,805,40216,78,0.12,776,41442,437,0.0,Elsevier Ltd,12.1,12.7
Computers and Structures,journal,ENGI;MATH;MATE;COMP,Modeling and Simulation;Civil and Structural Engineering;Mechanical Engineering;Materials Science (all);Computer Science Applications,1.634,1.274,106,19913,2,0.0,162,19700,18,0.0,235,17894,140,1.28,Elsevier Ltd,7.5,8.8
Computers in Industry,journal,ENGI;COMP,Engineering (all);Computer Science (all),3.137,2.453,141,11916,3,12.77,181,13672,9,4.42,80,13212,41,3.75,Elsevier B.V.,19.7,18.9
"Computers, Materials and Continua",journal,ENGI;MATH;MATE;COMP,Modeling and Simulation;Biomaterials;Electrical and Electronic Engineering;Computer Science Applications;Mechanics of Materials,0.73,0.460,1352,8655,212,0.74,1131,10169,333,1.41,760,9995,628,4.74,Tech Science Press,5.6,5.3
Computing in Science and Engineering,journal,ENGI;COMP,Engineering (all);Computer Science (all),0.857,0.375,65,8183,26,3.08,50,8187,37,2.0,27,7271,18,7.41,IEEE Computer Society,4.6,4.2
Concurrent Engineering Research and Applications,journal,ENGI;MATH;COMP,Modeling and Simulation;Engineering (all);Computer Science Applications,0.814,0.590,44,853,7,0.0,10,893,6,20.0,3,676,3,0.0,SAGE Publications Ltd,8.3,6.4
Conference Digest - IEEE International Semiconductor Laser Conference,conferenceproceeding,PHYS;ENGI,"Atomic and Molecular Physics, and Optics;Electrical and Electronic Engineering",0.228,0.144,119,158,89,0.0,0,139,0,0.0,0,109,0,0.0,Institute of Electrical and Electronics Engineers Inc.,0.7,0.4
Conference Proceedings - IEEE Applied Power Electronics Conference and Exposition - APEC,conferenceproceeding,ENGI,Electrical and Electronic Engineering,0.603,0.770,335,9472,50,0.0,509,10031,150,0.0,505,6990,382,0.0,Institute of Electrical and Electronics Engineers Inc.,2.9,3.2
Conference Record - IAS Annual Meeting (IEEE Industry Applications Society),conferenceproceeding,ENGI,Industrial and Manufacturing Engineering;Electrical and Electronic Engineering;Control and Systems Engineering,0.407,0.422,183,3336,29,0.0,0,3321,0,0.0,0,2161,0,0.0,Institute of Electrical and Electronics Engineers Inc.,2.3,1.7
Conference Record - IEEE Instrumentation and Measurement Technology Conference,conferenceproceeding,ENGI,Electrical and Electronic Engineering,0.419,0.249,243,2068,59,0.0,235,2074,115,0.0,374,1669,336,0.0,Institute of Electrical and Electronics Engineers Inc.,1.6,1.4
Conference Record - International Conference on Communications,conferenceproceeding,ENGI;COMP,Computer Networks and Communications;Electrical and Electronic Engineering,0.584,0.861,970,15278,150,0.0,1087,15418,479,0.0,938,12935,856,0.0,Institute of Electrical and Electronics Engineers Inc.,2.8,3.6
Conference Record of the IEEE Photovoltaic Specialists Conference,conferenceproceeding,ENGI,Electrical and Electronic Engineering;Control and Systems Engineering;Industrial and Manufacturing Engineering,0.32,0.294,262,4669,135,0.0,357,4034,309,0.0,0,3043,0,0.0,Institute of Electrical and Electronics Engineers Inc.,1.3,1.4
Connections,journal,ENGI;SOCI;COMP,"Political Science and International Relations;Computer Networks and Communications;Law;Safety Research;Safety, Risk, Reliability and Quality",0,0.147,32,46,29,0.0,11,56,11,0.0,0,43,0,0.0,Partnership for Peace Consortium of Defense Academies and Security Studies Institutes,0.4,1.2
Construction Economics and Building,journal,BUSI;ENGI,"Business, Management and Accounting (all);Building and Construction",0.926,0.411,19,737,3,0.0,16,871,14,0.0,15,836,15,6.67,Australian Institute of Quantity Surveyors,3.8,3.8
Construction History,journal,ARTS;ENGI,Architecture;Building and Construction;Visual Arts and Performing Arts,0.332,0.116,6,62,5,0.0,16,49,14,0.0,7,47,7,0.0,Chartered Institute of Building,0.2,0.1
Construction Innovation,journal,ENGI;COMP,Architecture;Civil and Structural Engineering;Building and Construction;Computer Science (all);Control and Systems Engineering,1.24,0.754,60,1743,0,18.33,124,2168,18,16.13,131,2329,62,14.5,Emerald Group Publishing Ltd.,7.5,7.1
Construction Management and Economics,journal,BUSI;ENGI,Building and Construction;Management Information Systems;Industrial and Manufacturing Engineering,1.649,0.874,60,6592,5,0.0,55,6929,9,0.0,67,5673,43,0.0,Taylor and Francis Ltd.,6.3,7.5
Construction and Building Materials,journal,ENGI;MATE,Materials Science (all);Building and Construction;Civil and Structural Engineering,2.11,1.999,3636,190702,53,5.61,4178,218186,262,5.27,4618,231225,2363,3.51,Elsevier Ltd,13.1,13.8
Consulting-Specifying Engineer,tradejournal,ENGI,Engineering (all),0,0.102,26,24,25,0.0,26,15,26,0.0,45,17,44,2.22,Cahners Business Information,0.1,0.1
Contexto,journal,ARTS;ENGI;SOCI,Architecture;Visual Arts and Performing Arts;Urban Studies,0.169,0.119,20,4,18,0.0,11,9,11,0.0,19,4,19,0.0,Universidad Autonoma de Nuevo Leon,0.3,0.3
Continuum Mechanics and Thermodynamics,journal,PHYS;ENGI;MATE,Materials Science (all);Physics and Astronomy (all);Mechanics of Materials,1.012,0.506,91,2457,10,2.2,130,2300,36,0.77,98,2201,61,1.02,Springer New York,4.9,5.3
Control,tradejournal,ENGI,Control and Systems Engineering;Electrical and Electronic Engineering,0,0.100,36,5,36,0.0,82,8,81,0.0,0,4,0,0.0,Putman Publishing Company,0.0,0.0
Control Engineering,tradejournal,ENGI,Control and Systems Engineering;Electrical and Electronic Engineering,0,0.101,117,53,114,0.85,135,54,133,0.74,33,38,33,0.0,CFE Media LLC,0.0,0.0
Control Engineering Practice,journal,ENGI;MATH;COMP,Computer Science Applications;Applied Mathematics;Electrical and Electronic Engineering;Control and Systems Engineering,1.74,1.576,172,12373,4,0.0,286,12539,35,0.0,293,11308,166,0.0,Elsevier Ltd,8.6,9.2
Control Engineering and Applied Informatics,journal,ENGI;COMP,Electrical and Electronic Engineering;Computer Science (all),0.297,0.159,35,336,21,0.0,35,314,25,0.0,28,271,24,0.0,Romanian Society of Control Engineering and Technical Informatics,1.1,1.5
Control Theory and Technology,journal,ENGI;MATH;COMP,Modeling and Simulation;Signal Processing;Aerospace Engineering;Electrical and Electronic Engineering;Control and Systems Engineering;Information Systems;Control and Optimization,0.638,0.462,49,741,13,2.04,51,752,22,1.96,58,679,51,1.72,Springer Science + Business Media,2.7,2.7
Control and Cybernetics,journal,ENGI;MATH,Modeling and Simulation;Control and Systems Engineering;Applied Mathematics,0.416,0.164,29,644,21,0.0,8,574,7,0.0,0,473,0,0.0,Sciendo,0.8,0.5
Convegno Nazionale di Bioingegneria,conferenceproceeding,ENGI,Biomedical Engineering,0.005,0.103,0,5,0,0.0,299,8,283,0.0,0,20,0,0.0,Patron Editore S.r.l.,0.1,0.0
Cosmic Research,journal,PHYS;ENGI;EART,Space and Planetary Science;Aerospace Engineering;Astronomy and Astrophysics,0.546,0.217,63,498,32,0.0,81,519,49,0.0,50,327,46,0.0,Pleiades Publishing,1.0,1.1
Coupled Systems Mechanics,journal,ENGI,Mechanics of Materials;Civil and Structural Engineering,0.511,0.260,32,183,20,0.0,31,189,18,0.0,16,170,15,0.0,Techno-Press,2.4,3.2
Critical Reviews in Biomedical Engineering,journal,ENGI,Biomedical Engineering,0.244,0.193,22,1668,5,9.09,20,1655,8,10.0,21,1287,13,4.76,Begell House Inc.,2.4,1.8
Critical Reviews in Food Science and Nutrition,journal,ENGI;AGRI,Industrial and Manufacturing Engineering;Food Science,2.352,1.893,517,40437,2,99.42,800,44841,46,97.75,765,47298,143,99.22,Taylor and Francis Ltd.,22.0,22.6
Critical Reviews in Solid State and Materials Sciences,journal,CENG;PHYS;MATE;CHEM;ENGI,"Condensed Matter Physics;Physical and Theoretical Chemistry;Electronic, Optical and Magnetic Materials;Electrical and Electronic Engineering;Chemical Engineering (all)",2.863,1.959,27,2625,0,100.0,26,3014,1,100.0,35,3171,8,97.14,Taylor and Francis Ltd.,22.1,22.1
Cubic Journal,journal,ARTS;ENGI,Architecture;Arts and Humanities (miscellaneous);Visual Arts and Performing Arts,0.098,0.121,13,5,13,0.0,8,7,5,0.0,0,13,0,0.0,Jap Sam Books,0.2,0.2
Current Directions in Biomedical Engineering,journal,ENGI;MEDI,Biomedical Engineering;Medicine (all),0.339,0.268,250,668,126,1.2,193,800,131,0.0,60,811,59,1.67,Walter de Gruyter GmbH,1.0,0.9
Current Nanomedicine,journal,CENG;ENGI;MEDI,Bioengineering;Medicine (miscellaneous);Biomedical Engineering,0.191,0.206,17,54,5,41.18,17,71,9,35.29,23,89,17,43.48,Bentham Science Publishers,1.5,2.0
Current Nanoscience,journal,CENG;PHAR;BIOC;MEDI;ENGI,Biotechnology;Bioengineering;Medicine (miscellaneous);Biomedical Engineering;Pharmaceutical Science,0.307,0.267,64,1762,16,32.81,74,1715,26,32.43,55,1516,23,61.82,Bentham Science Publishers,3.2,3.5
Current Opinion in Biomedical Engineering,journal,CENG;ENGI;MEDI;MATE,Bioengineering;Biomedical Engineering;Medicine (miscellaneous);Biomaterials,0.785,0.799,53,1605,5,92.45,83,1863,13,92.77,34,1929,29,79.41,Elsevier B.V.,9.8,8.6
Current Opinion in Biotechnology,journal,CENG;ENGI;BIOC,Bioengineering;Biomedical Engineering;Biotechnology,1.455,1.813,227,23070,9,96.04,130,22781,15,92.31,150,19501,80,94.0,Elsevier Ltd,14.2,16.2
Current Sustainable/Renewable Energy Reports,journal,ENGI;ENER,"Renewable Energy, Sustainability and the Environment;Energy Engineering and Power Technology;Engineering (miscellaneous);Fuel Technology",0.783,0.769,8,602,1,87.5,24,627,7,95.83,12,578,11,75.0,Springer International Publishing,5.8,5.1
Curved and Layered Structures,journal,ENGI,"Architecture;Civil and Structural Engineering;Aerospace Engineering;Building and Construction;Computational Mechanics;Mechanics of Materials;Safety, Risk, Reliability and Quality",0.669,0.359,35,287,7,0.0,36,301,12,0.0,19,335,15,5.26,Walter de Gruyter GmbH,3.0,2.6
Cyber-Physical Systems,journal,ENGI;COMP,Computer Networks and Communications;Control and Systems Engineering;Information Systems;Hardware and Architecture,0.38,0.257,14,124,3,0.0,18,164,7,0.0,30,176,24,0.0,Taylor and Francis Ltd.,3.1,3.1
Cyborg and Bionic Systems,journal,ENGI;COMP,Human-Computer Interaction;Biomedical Engineering;Mechanical Engineering;Artificial Intelligence,1.933,1.508,30,162,0,23.33,50,584,1,16.0,61,1389,31,22.95,American Association for the Advancement of Science,12.5,7.7
Cytotechnology,journal,CENG;ENGI;BIOC,Biotechnology;Bioengineering;Cell Biology;Clinical Biochemistry;Biomedical Engineering,0.508,0.485,52,3980,7,3.85,39,3503,13,5.13,62,3023,49,4.84,Springer,3.3,4.1
DFI Journal,journal,ENGI;EART,Geotechnical Engineering and Engineering Geology;Building and Construction;Civil and Structural Engineering,0.366,0.327,12,59,10,0.0,13,49,13,0.0,6,46,6,0.0,Deep Foundations Institute,0.9,0.8
DISEGNARECON,journal,ARTS;ENGI;SOCI,Architecture;Visual Arts and Performing Arts;Urban Studies,0.506,0.237,28,88,18,0.0,50,102,42,0.0,0,76,0,0.0,"University of L'Aquila, Department of Civil Construction, Building and Architecture, Environmental Engineering",1.1,0.7
DLR Deutsches Zentrum fur Luft- und Raumfahrt e.V. - Forschungsberichte,bookseries,ENGI;EART;MATH,Space and Planetary Science;Aerospace Engineering;Applied Mathematics,0.018,0.103,15,55,15,0.0,0,38,0,0.0,0,29,0,0.0,Deutschen Forschungsanstalt fur Luft-und Raumfahrt,0.0,0.0
DYNA (Colombia),journal,ENGI,Engineering (all),0.264,0.164,99,1337,47,0.0,106,1308,79,0.94,49,1065,48,0.0,Universidad Nacional de Colombia,1.0,1.3
Dalian Haishi Daxue Xuebao/Journal of Dalian Maritime University,journal,ENGI,Ocean Engineering;Engineering (miscellaneous),0.133,0.147,51,255,29,0.0,54,232,34,0.0,17,202,16,0.0,Editorial Office of Journal of Dalian Maritime University,1.0,0.7
Dalian Ligong Daxue Xuebao/Journal of Dalian University of Technology,journal,PHYS;ENGI;MATH,Engineering (all);Applied Mathematics;Physics and Astronomy (all),0.207,0.153,79,421,55,0.0,79,459,66,0.0,66,374,62,0.0,Dalian University of Technology,0.6,0.6
Dams and Reservoirs,journal,ENGI;EART,Geotechnical Engineering and Engineering Geology;Civil and Structural Engineering,0.103,0.138,32,34,29,0.0,29,37,24,0.0,20,41,20,0.0,ICE Publishing,0.6,0.5
Dandao Xuebao/Journal of Ballistics,journal,ENGI,Mechanical Engineering,0.66,0.241,62,311,33,0.0,58,370,46,0.0,28,261,26,0.0,University of Science and Technology,0.8,0.9
Data-Centric Engineering,journal,ENGI;MATH;COMP,Engineering (all);Computer Science Applications;Statistics and Probability;Applied Mathematics,1.066,0.676,29,178,4,6.9,30,300,9,10.0,20,435,9,10.0,Cambridge University Press,5.0,5.6
Dearq,journal,ENGI;SOCI,"Architecture;Geography, Planning and Development;Urban Studies",0.764,0.190,27,19,26,0.0,28,28,25,0.0,16,19,16,0.0,Universidad de los Andes,0.3,0.4
Deep Underground Science and Engineering,journal,ENGI,Engineering (miscellaneous),1.465,0.646,17,6,0,0.0,31,95,3,6.45,63,256,35,22.22,Blackwell Publishing,5.1,2.2
Defence S and T Technical Bulletin,journal,ENGI,Engineering (all),0.238,0.137,24,71,18,0.0,23,73,21,0.0,10,59,9,0.0,Science & Technology Research Institute for Defence (STRIDE),0.6,0.6
Defence Science Journal,journal,PHYS;ENGI;MULT;COMP,Mechanical Engineering;Physics and Astronomy (all);Multidisciplinary;Electrical and Electronic Engineering;Biomedical Engineering;Computer Science Applications,0.6,0.259,94,1678,34,2.13,78,1599,47,0.0,83,1444,82,1.2,Defence Scientific Information and Documentation Centre,1.7,1.8
Defence Technology,journal,ENGI;MATE,Mechanical Engineering;Metals and Alloys;Computational Mechanics;Ceramics and Composites,2.225,0.907,173,4047,5,5.2,230,5349,14,5.22,332,6027,138,7.83,KeAi Communications Co.,9.2,8.7
Dental Materials,journal,DENT;ENGI;MATE,Materials Science (all);Dentistry (all);Mechanics of Materials,1.578,1.186,206,20446,3,5.34,124,19152,10,9.68,238,17170,139,9.66,Elsevier Inc.,9.1,9.8
Desalination,journal,CENG;ENVI;MATE;CHEM;ENGI,Mechanical Engineering;Materials Science (all);Water Science and Technology;Chemistry (all);Chemical Engineering (all),1.512,1.521,604,59846,6,7.62,681,56048,24,7.93,938,53229,374,9.49,Elsevier B.V.,13.4,14.6
Desalination and Water Treatment,journal,ENGI;ENVI,Pollution;Ocean Engineering;Water Science and Technology,0.282,0.256,1015,21491,475,0.49,984,20834,715,0.3,814,19080,508,9.34,Elsevier B.V.,2.1,2.2
Design Engineering (Toronto),tradejournal,ENGI,Engineering (all),0,0.101,8,1,8,0.0,12,4,12,0.0,12,1,12,0.0,Rogers Media Publishing,0.0,0.0
Design Science,journal,ENGI;ARTS;MATH,Modeling and Simulation;Engineering (all);Visual Arts and Performing Arts,1.25,0.662,30,547,4,10.0,34,687,8,5.88,16,572,12,18.75,Cambridge University Press,4.1,4.8
Design Studies,journal,ARTS;ENGI;SOCI;COMP,Social Sciences (all);Arts and Humanities (miscellaneous);Architecture;Artificial Intelligence;Engineering (all);Computer Science Applications,2.348,1.180,33,5028,0,3.03,34,4935,3,5.88,18,4149,15,0.0,Elsevier Ltd,9.4,8.6
Designs,journal,ENGI,Mechanical Engineering;Engineering (miscellaneous);Industrial and Manufacturing Engineering,0.908,0.433,126,792,19,3.97,143,1217,36,9.79,104,1354,72,9.62,Multidisciplinary Digital Publishing Institute (MDPI),4.3,3.9
Deutsche Lebensmittel-Rundschau,journal,ENGI;AGRI;SOCI,Law;Industrial and Manufacturing Engineering;Food Science,0.035,0.103,413,201,409,0.0,227,170,224,0.44,23,141,23,0.0,Wissenschaftliche Verlagsgesellschaft mbH,0.1,0.1
Development Engineering,journal,ECON;ENGI;SOCI;COMP,"Engineering (all);Computer Science Applications;Economics, Econometrics and Finance (all);Development",0.93,0.329,14,307,0,7.14,9,316,0,0.0,0,259,0,0.0,Elsevier Ltd,6.1,4.9
Developments in the Built Environment,journal,ENGI;MATE;COMP,Architecture;Civil and Structural Engineering;Computer Graphics and Computer-Aided Design;Building and Construction;Computer Science Applications;Materials Science (miscellaneous),2.333,1.374,40,565,3,5.0,190,1211,11,7.37,268,2899,118,6.72,Elsevier Ltd,6.7,7.4
Diagnostyka,journal,ENGI;COMP,"Signal Processing;Mechanical Engineering;Electrical and Electronic Engineering;Biomedical Engineering;Safety, Risk, Reliability and Quality",0.578,0.265,49,362,10,2.04,58,395,29,3.45,44,327,38,0.0,Polish Society of Technical Diagnostics,2.1,2.2
Diamond and Related Materials,journal,PHYS;ENGI;MATE;CHEM,"Materials Chemistry;Mechanical Engineering;Physics and Astronomy (all);Electronic, Optical and Magnetic Materials;Electrical and Electronic Engineering;Chemistry (all)",0.925,0.671,733,13265,29,0.27,919,15901,94,0.76,1037,20654,577,0.96,Elsevier B.V.,6.5,6.0
Dianbo Kexue Xuebao/Chinese Journal of Radio Science,journal,ENGI,Electrical and Electronic Engineering,0.427,0.189,139,473,81,0.72,127,470,93,0.0,83,373,80,2.41,Chinese Research Institute of Radiowave Propagation,1.1,1.1
Diangong Jishu Xuebao/Transactions of China Electrotechnical Society,journal,ENGI,Electrical and Electronic Engineering,1.325,0.758,549,9086,81,5.28,552,9973,211,0.72,415,8083,293,0.96,Chinese Machine Press,5.7,5.6
Dianji yu Kongzhi Xuebao/Electric Machines and Control,journal,ENGI;ENER;COMP,Computer Science Applications;Energy Engineering and Power Technology;Electrical and Electronic Engineering;Control and Systems Engineering,0.655,0.274,180,1166,54,0.56,208,1248,133,0.0,144,1029,139,0.0,Editorial Department of Electric Machines and Control,2.0,2.1
Dianli Jianshe/Electric Power Construction,journal,ENGI;ENER,"Renewable Energy, Sustainability and the Environment;Energy Engineering and Power Technology;Fuel Technology;Electrical and Electronic Engineering",0.688,0.369,162,1042,13,0.0,148,1311,39,2.03,129,1095,103,0.0,State Power Economic Research Institute,3.7,3.3
Dianli Xitong Baohu yu Kongzhi/Power System Protection and Control,journal,ENGI,Control and Systems Engineering;Electrical and Electronic Engineering,1.304,0.655,462,6878,31,1.52,409,8063,107,0.49,325,5730,262,1.23,Power System Protection and Control Press,6.7,6.5
Dianli Xitong Zidonghua/Automation of Electric Power Systems,journal,ENGI;COMP;ENER,Electrical and Electronic Engineering;Control and Systems Engineering;Energy Engineering and Power Technology;Computer Science Applications,1.482,1.171,506,15604,24,3.56,452,18125,98,1.55,360,12149,264,3.89,Automation of Electric Power Systems Press,8.7,8.2
